timestamp,channel,signal,peak_to_peak,flags
1,5,15.000001,15.000001,0
2,5,10.000000,10.000000,0
3,5,1.250000,1.250000,0
4,5,8.750000,8.750000,0
5,5,15.000001,15.000001,0
6,5,15.000001,15.000001,0
7,5,10.000000,10.000000,0
8,5,1.250000,1.250000,0
9,5,10.000000,10.000000,0
10,5,16.250000,16.250000,0
11,5,15.000001,15.000001,0
12,5,10.000000,10.000000,0
13,5,1.250000,1.250000,0
14,5,10.000000,10.000000,0
15,5,16.250000,16.250000,0
16,5,15.000001,15.000001,0
17,5,10.000000,10.000000,0
18,5,1.250000,1.250000,0
19,5,8.750000,8.750000,0
20,5,16.250000,16.250000,0
21,5,16.250000,16.250000,0
22,5,10.000000,10.000000,0
23,5,1.250000,1.250000,0
24,5,10.000000,10.000000,0
25,5,16.250000,16.250000,0
26,5,16.250000,16.250000,0
27,5,11.250000,11.250000,0
28,5,1.250000,1.250000,0
29,5,10.000000,10.000000,0
30,5,16.250000,16.250000,0
31,5,16.250000,16.250000,0
32,5,10.000000,10.000000,0
33,5,1.250000,1.250000,0
34,5,10.000000,10.000000,0
35,5,17.500000,17.500000,0
36,5,16.250000,16.250000,0
37,5,10.000000,10.000000,0
38,5,1.250000,1.250000,0
39,5,11.250000,11.250000,0
40,5,17.500000,17.500000,0
41,5,16.250000,16.250000,0
42,5,10.000000,10.000000,0
43,5,1.250000,1.250000,0
44,5,10.000000,10.000000,0
45,5,17.500000,17.500000,0
46,5,16.250000,16.250000,0
47,5,11.250000,11.250000,0
48,5,1.250000,1.250000,0
49,5,10.000000,10.000000,0
50,5,17.500000,17.500000,0
51,5,16.250000,16.250000,0
52,5,11.250000,11.250000,0
53,5,1.250000,1.250000,0
54,5,10.000000,10.000000,0
55,5,17.500000,17.500000,0
56,5,16.250000,16.250000,0
57,5,11.250000,11.250000,0
58,5,1.250000,1.250000,0
59,5,10.000000,10.000000,0
60,5,17.500000,17.500000,0
61,5,17.500000,17.500000,0
62,5,11.250000,11.250000,0
63,5,1.250000,1.250000,0
64,5,10.000000,10.000000,0
65,5,17.500000,17.500000,0
66,5,17.500000,17.500000,0
67,5,11.250000,11.250000,0
68,5,2.500000,2.500000,0
69,5,10.000000,10.000000,0
70,5,17.500000,17.500000,0
71,5,17.500000,17.500000,0
72,5,11.250000,11.250000,0
73,5,2.500000,2.500000,0
74,5,10.000000,10.000000,0
75,5,17.500000,17.500000,0
76,5,17.500000,17.500000,0
77,5,11.250000,11.250000,0
78,5,2.500000,2.500000,0
79,5,10.000000,10.000000,0
80,5,17.500000,17.500000,0
81,5,17.500000,17.500000,0
82,5,11.250000,11.250000,0
83,5,1.250000,1.250000,0
84,5,10.000000,10.000000,0
85,5,17.500000,17.500000,0
86,5,17.500000,17.500000,0
87,5,11.250000,11.250000,0
88,5,1.250000,1.250000,0
89,5,10.000000,10.000000,0
